policy_chunk,section,value_target,value_condition_declaration,value_action,value_beneficiary,value_assessor,value_type,value_proposition_short,value_proposition_long
aberystwyth-university.md-2,Preamble / Introduction / Background,data,if continuing value,should be retained,researcher,"funder, legal or discipline requirements",conditional value,"data, if continuing value, should be retained","data, if continuing value, should be retained for the benefit of the researcher"
aberystwyth-university.md-2,Preamble / Introduction / Background,associated materials,if continuing value,should be retained,researcher,"funder, legal or discipline requirements",conditional value,"associated materials, if continuing value, should be retained","associated materials, if continuing value, should be retained for the benefit of the researcher"
aberystwyth-university.md-2,Preamble / Introduction / Background,data,if continuing value,should be retained,research community,"funder, legal or discipline requirements",conditional value,"data, if continuing value, should be retained","data, if continuing value, should be retained for the benefit of the research community"
aberystwyth-university.md-2,Preamble / Introduction / Background,associated materials,if continuing value,should be retained,research community,"funder, legal or discipline requirements",conditional value,"associated materials, if continuing value, should be retained","associated materials, if continuing value, should be retained for the benefit of the research community"
aston-university.md-1,Preamble / Introduction / Background,values (societal/ethical),it refers to ethical or normative values,not applicable,not applicable,university management,normative values,"values (societal/ethical), it refers to ethical or normative values, not applicable","values (societal/ethical), it refers to ethical or normative values, not applicable for the benefit of the not applicable"
aston-university.md-9,General provisions / Guiding principles,data,if long-term value,should be retained,not specified,not specified,conditional value,"data, if long-term value, should be retained","data, if long-term value, should be retained for the benefit of the not specified"
aston-university.md-9,General provisions / Guiding principles,data,if substantiates published findings,should be retained,not specified,not specified,conditional value,"data, if substantiates published findings, should be retained","data, if substantiates published findings, should be retained for the benefit of the not specified"
cardiff-metropolitan-university.md-9,Storage / Safeguarding / Backup,data,if long-term value,should be preserved,future research,not specified,conditional value,"data, if long-term value, should be preserved","data, if long-term value, should be preserved for the benefit of the future research"
cardiff-metropolitan-university.md-9,Storage / Safeguarding / Backup,data,if long-term value,should remain accessible,future research,not specified,conditional value,"data, if long-term value, should remain accessible","data, if long-term value, should remain accessible for the benefit of the future research"
aberystwyth-university.md-2,Preamble / Introduction / Background,data,if long-term value,should be retained,education,not specified,conditional value,"data, if long-term value, should be retained","data, if long-term value, should be retained for the benefit of the education"
aberystwyth-university.md-2,Preamble / Introduction / Background,associated materials,if long-term value,should be retained,education,not specified,conditional value,"associated materials, if long-term value, should be retained","associated materials, if long-term value, should be retained for the benefit of the education"
carl-von-ossietzky-universität-oldenburg.md-0,Preamble / Introduction / Background,data,if long-term value,should be retained,research,not specified,conditional value,"data, if long-term value, should be retained","data, if long-term value, should be retained for the benefit of the research"
carl-von-ossietzky-universität-oldenburg.md-0,Preamble / Introduction / Background,associated materials,if long-term value,should be retained,research,not specified,conditional value,"associated materials, if long-term value, should be retained","associated materials, if long-term value, should be retained for the benefit of the research"
carl-von-ossietzky-universität-oldenburg.md-0,Preamble / Introduction / Background,data,if long-term value,should be retained,society,not specified,conditional value,"data, if long-term value, should be retained","data, if long-term value, should be retained for the benefit of the society"
carl-von-ossietzky-universität-oldenburg.md-0,Preamble / Introduction / Background,associated materials,if long-term value,should be retained,society,not specified,conditional value,"associated materials, if long-term value, should be retained","associated materials, if long-term value, should be retained for the benefit of the society"
carl-von-ossietzky-universität-oldenburg.md-1,Preamble / Introduction / Background,data,if best practices are followed,maximises academic value,not specified,not specified,conditional value,"data, if best practices are followed, maximises academic value","data, if best practices are followed, maximises academic value for the benefit of the not specified"
carl-von-ossietzky-universität-oldenburg.md-2,Purpose / Objective,data,if continuing value,should be retained,researcher,"funder, legal or discipline requirements",conditional value,"data, if continuing value, should be retained","data, if continuing value, should be retained for the benefit of the researcher"
carl-von-ossietzky-universität-oldenburg.md-2,Purpose / Objective,data,if continuing value,should be retained,research community,"funder, legal or discipline requirements",conditional value,"data, if continuing value, should be retained","data, if continuing value, should be retained for the benefit of the research community"
central-european-university.md-0,Preamble / Introduction / Background,values (societal/ethical),it refers to ethical or normative values,not applicable,not applicable,university management,normative values,"values (societal/ethical), it refers to ethical or normative values, not applicable","values (societal/ethical), it refers to ethical or normative values, not applicable for the benefit of the not applicable"
copenhagen-business-school.md-11,"Retention, Archiving, & Disposal",data,if there are costs,should be archived,researcher,"funder, legal or discipline requirements",conditional value,"data, if there are costs, should be archived","data, if there are costs, should be archived for the benefit of the researcher"
de-montfort-university.md-6,Scope & Definitions,data,if long-term value,should be preserved,not specified,not specified,conditional value,"data, if long-term value, should be preserved","data, if long-term value, should be preserved for the benefit of the not specified"
de-montfort-university.md-6,Scope & Definitions,data,if long-term value,should be published/shared,not specified,not specified,conditional value,"data, if long-term value, should be published/shared","data, if long-term value, should be published/shared for the benefit of the not specified"
de-montfort-university.md-8,Scope & Definitions,data,if continuing value,should be published/shared,researcher,not specified,conditional value,"data, if continuing value, should be published/shared","data, if continuing value, should be published/shared for the benefit of the researcher"
